owner,repository,stars,forks,watchers,open_issues,size,language,default_branch,has_wiki,has_projects,has_issues,has_pages,archived,disabled,created_at,updated_at,pushed_at
react,react,246463,51200,246463,1200,1021473,JavaScript,main,False,False,True,True,False,False,2013-05-24T16:15:54Z,2026-07-13T13:01:03Z,2026-07-10T03:04:54Z
jestjs,jest,45543,6807,45543,231,320995,TypeScript,main,True,True,True,True,False,False,2013-12-10T00:18:04Z,2026-07-13T01:36:05Z,2026-07-12T18:47:29Z
facebook,docusaurus,65600,9972,65600,385,1318199,TypeScript,main,False,True,True,True,False,False,2017-06-20T16:13:53Z,2026-07-13T12:31:18Z,2026-07-10T20:51:12Z
tensorflow,tensorflow,196298,75505,196298,2700,1345534,C++,master,False,True,True,False,False,False,2015-11-07T01:19:20Z,2026-07-13T13:12:08Z,2026-07-13T13:11:21Z
keras-team,keras,64168,19745,64168,232,54012,Python,master,True,True,True,False,False,False,2015-03-28T00:35:42Z,2026-07-13T13:07:55Z,2026-07-07T17:53:38Z
numpy,numpy,32355,12564,32355,2398,180523,Python,main,True,True,True,False,False,False,2010-09-13T23:02:39Z,2026-07-13T12:44:56Z,2026-07-13T12:31:09Z
pandas-dev,pandas,49179,20127,49179,3029,400831,Python,main,False,True,True,False,False,False,2010-08-24T01:37:33Z,2026-07-13T12:44:50Z,2026-07-13T08:16:27Z
scikit-learn,scikit-learn,66664,27171,66664,2103,186154,Python,main,True,True,True,False,False,False,2010-08-17T09:43:38Z,2026-07-13T13:06:59Z,2026-07-13T12:58:16Z
fastapi,fastapi,100428,9598,100428,99,52821,Python,master,False,True,True,False,False,False,2018-12-08T08:21:47Z,2026-07-13T13:02:20Z,2026-07-13T11:02:56Z
pallets,flask,71918,16906,71918,7,12008,Python,main,False,False,True,False,False,False,2010-04-06T11:11:59Z,2026-07-13T12:59:51Z,2026-06-10T18:03:29Z
django,django,88182,34177,88182,458,281012,Python,main,False,False,False,False,False,False,2012-04-28T02:47:18Z,2026-07-13T12:36:24Z,2026-07-13T09:17:57Z
microsoft,vscode,187492,41249,187492,19248,1322130,TypeScript,main,True,True,True,False,False,False,2015-09-03T20:23:38Z,2026-07-13T12:45:01Z,2026-07-13T13:13:13Z
microsoft,TypeScript,109881,13649,109881,5060,2960582,TypeScript,main,True,True,True,False,False,False,2014-06-17T15:28:39Z,2026-07-13T12:58:12Z,2026-07-08T15:45:40Z
apache,spark,43608,29276,43608,440,578131,Scala,master,False,False,True,True,False,False,2014-02-25T08:00:08Z,2026-07-13T11:22:19Z,2026-07-12T18:07:55Z
nodejs,node,118322,36198,118322,2348,1508740,JavaScript,main,False,True,True,False,False,False,2014-11-26T19:57:11Z,2026-07-13T12:09:03Z,2026-07-13T11:12:48Z
rust-lang,rust,114680,15413,114680,12604,941126,Rust,main,False,True,True,False,False,False,2010-06-16T20:39:03Z,2026-07-13T13:16:15Z,2026-07-13T12:59:39Z
golang,go,135347,19328,135347,10194,444010,Go,master,True,True,True,False,False,False,2014-08-19T04:33:40Z,2026-07-13T13:16:18Z,2026-07-13T12:55:38Z
opencv,opencv,89875,56704,89875,2750,562841,C++,4.x,True,True,True,False,False,False,2012-07-19T09:40:17Z,2026-07-13T12:57:46Z,2026-07-12T14:11:55Z
ansible,ansible,69662,24279,69662,812,265390,Python,devel,False,True,True,False,False,False,2012-03-06T14:58:02Z,2026-07-13T12:42:54Z,2026-07-09T16:55:45Z
hashicorp,terraform,49454,10686,49454,1912,356254,Go,main,False,False,True,False,False,False,2014-03-13T22:25:48Z,2026-07-13T12:31:06Z,2026-07-13T12:49:37Z
